Country,EstimatedantiretroviraltherapycoverageamongpeoplelivingwithHIV(%),Reportednumberofpeoplereceivingantiretroviraltherapy
Afghanistan,4,281
Albania,0,354
Algeria,57,6020
Andorra,0,0
Angola,25,76666
AntiguaandBarbuda,0,0
Argentina,47,59751
Armenia,19,741
Australia,80,0
Austria,80,0
Azerbaijan,22,1816
Bahamas,80,1852
Bahrain,0,0
Bangladesh,14,1287
Barbados,80,1097
Belarus,20,5918
Belgium,80,0
Belize,56,1498
Benin,37,28850
Bhutan,0,167
Bolivia(PlurinationalStateof),21,3803
BosniaandHerzegovina,0,207
Botswana,62,244063
Brazil,...,388565
BruneiDarussalam,0,0
Bulgaria,0,692
BurkinaFaso,43,46623
Burundi,44,36888
Côted'Ivoire,31,140710
CaboVerde,36,1212
Cambodia,71,52907
Cameroon,22,145038
Canada,80,0
CentralAfricanRepublic,18,24142
Chad,23,48757
Chile,80,25106
China,0,295358
Colombia,40,49743
Comoros,0,0
Congo,17,13717
CookIslands,0,0
CostaRica,53,4672
Croatia,80,0
Cuba,70,12018
Cyprus,80,0
CzechRepublic,80,0
DemocraticPeople'sRepublicofKorea,80,0
DemocraticRepublicoftheCongo,23,101324
Denmark,80,0
Djibouti,16,1593
Dominica,0,0
DominicanRepublic,39,27001
Ecuador,41,13300
Egypt,19,1715
ElSalvador,51,10549
EquatorialGuinea,80,8645
Eritrea,49,7862
Estonia,0,0
Ethiopia,50,362041
Fiji,32,208
Finland,80,0
France,80,0
Gabon,46,21759
Gambia,23,4586
Georgia,39,2541
Germany,80,0
Ghana,33,83712
Greece,80,6997
Grenada,0,0
Guatemala,37,18075
Guinea,27,0
Guinea-Bissau,19,8127
Guyana,44,4295
Haiti,44,62861
Honduras,43,9926
Hungary,0,138
Iceland,80,0
India,0,830707
Indonesia,8,50072
Iran(IslamicRepublicof),8,5585
Iraq,0,0
Ireland,80,0
Israel,80,0
Italy,80,0
Jamaica,31,9141
Japan,80,0
Jordan,0,0
Kazakhstan,25,5000
Kenya,55,755226
Kiribati,0,0
Kuwait,0,0
Kyrgyzstan,19,1718
LaoPeople'sDemocraticRepublic,30,3336
Latvia,80,1091
Lebanon,0,785
Lesotho,35,111322
Liberia,21,6910
Libya,0,0
Lithuania,80,547
Luxembourg,80,0
Madagascar,2,773
Malawi,50,536527
Malaysia,21,21654
Maldives,0,0
Mali,24,31472
Malta,80,0
MarshallIslands,0,0
Mauritania,14,2263
Mauritius,29,2353
Mexico,50,97402
Micronesia(FederatedStatesof),0,0
Monaco,0,0
Mongolia,0,0
Montenegro,0,82
Morocco,25,7292
Mozambique,42,646312
Myanmar,36,77444
Namibia,50,131722
Nauru,0,0
Nepal,27,10407
Netherlands,80,0
NewZealand,80,0
Nicaragua,29,2935
Niger,22,0
Nigeria,22,747382
Niue,0,0
Norway,80,0
Oman,80,1217
Pakistan,5,5121
Palau,0,0
Panama,54,8870
PapuaNewGuinea,44,16489
Paraguay,29,4894
Peru,46,32912
Philippines,24,8481
Poland,80,7881
Portugal,80,0
Qatar,0,0
RepublicofKorea,80,0
RepublicofMoldova,18,3116
Romania,0,9571
RussianFederation,80,183701
Rwanda,68,142855
SaintKittsandNevis,0,0
SaintLucia,0,0
SaintVincentandtheGrenadines,0,0
Samoa,0,0
SanMarino,0,0
SaoTomeandPrincipe,41,417
SaudiArabia,0,0
Senegal,38,16682
Serbia,0,1272
Seychelles,0,0
SierraLeone,20,10672
Singapore,80,0
Slovakia,80,319
Slovenia,80,0
SolomonIslands,0,0
Somalia,5,1916
SouthAfrica,45,3078570
SouthSudan,6,11310
Spain,80,0
SriLanka,19,639
Sudan,7,3936
Suriname,43,1640
Swaziland,59,125421
Sweden,80,0
Switzerland,80,0
SyrianArabRepublic,0,140
Tajikistan,16,2548
Thailand,61,271652
TheformerYugoslavrepublicofMacedonia,0,96
Timor-Leste,0,173
Togo,33,37511
Tonga,0,0
TrinidadandTobago,80,6399
Tunisia,24,651
Turkey,0,0
Turkmenistan,0,0
Tuvalu,0,0
Uganda,50,749308
Ukraine,0,0
UnitedArabEmirates,0,0
UnitedKingdomofGreatBritainandNorthernIreland,80,0
UnitedRepublicofTanzania,43,640084
UnitedStatesofAmerica,80,0
Uruguay,80,5270
Uzbekistan,34,10948
Vanuatu,0,0
Venezuela(BolivarianRepublicof),41,43601
VietNam,37,93262
Yemen,19,1355
Zambia,57,658831
Zimbabwe,51,787980
