Country,2013,2010,2005,2000
Afghanistan,250000,460000,780000,1500000
Algeria,50,50,10,100
Angola,3400000,2400000,5400000,4800000
Argentina,0,50,190,240
Armenia,Nodata,0,10,150
Azerbaijan,0,100,260,1700
Bangladesh,700000,670000,1100000,3100000
Belize,50,180,1800,1700
Benin,3100000,3200000,3400000,2700000
Bhutan,50,480,2000,6700
Bolivia(PlurinationalStateof),10600,20000,30000,48000
Botswana,1000,3300,2300,26000
Brazil,230000,440000,820000,1200000
BurkinaFaso,7100000,9400000,7400000,7200000
Burundi,1400000,1900000,2200000,2800000
Côted'Ivoire,8300000,9000000,9600000,8700000
CaboVerde,50,140,220,490
Cambodia,77000,180000,390000,1500000
Cameroon,5200000,5700000,8000000,6300000
CentralAfricanRepublic,1500000,1600000,1900000,1600000
Chad,1900000,1900000,2200000,1700000
China,4800,5900,23000,29000
Colombia,79000,180000,190000,320000
Comoros,124000,140000,120000,110000
Congo,820000,880000,1200000,1100000
CostaRica,10,120,3900,2100
DemocraticPeople'sRepublicofKorea,16000,15000,7400,190000
DemocraticRepublicoftheCongo,21000000,28000000,29000000,24000000
Djibouti,5400,1600,7900,10000
DominicanRepublic,800,3400,5300,1600
Ecuador,400,2100,19000,110000
ElSalvador,10,50,100,820
EquatorialGuinea,168000,150000,250000,190000
Eritrea,74000,93000,28000,70000
Ethiopia,3800000,4400000,4800000,8900000
Gabon,350000,230000,230000,440000
Gambia,440000,420000,420000,420000
Georgia,0,0,170,270
Ghana,8300000,9600000,8300000,9200000
Guatemala,10400,12000,69000,98000
Guinea,4800000,4500000,4100000,4200000
Guinea-Bissau,197000,170000,190000,570000
Guyana,63000,52000,88000,52000
Haiti,109000,230000,210000,200000
Honduras,11000,21000,37000,81000
India,17000000,21000000,26000000,24000000
Indonesia,4100000,4200000,5100000,3700000
Iran(IslamicRepublicof),570,2000,21000,22000
Iraq,Nodata,0,100,2000
Kenya,6500000,3300000,5200000,7200000
Kyrgyzstan,0,10,250,50
LaoPeople'sDemocraticRepublic,93000,69000,50000,260000
Liberia,1600000,1300000,1500000,1400000
Madagascar,1200000,650000,1300000,1500000
Malawi,3500000,6200000,4100000,4800000
Malaysia,3300,6400,5600,13000
Mali,7300000,5300000,6100000,5000000
Mauritania,72000,130000,200000,180000
Mexico,540,1300,3200,8100
Mozambique,9300000,9300000,9300000,9400000
Myanmar,1200000,1600000,1500000,1400000
Namibia,8900,2900,70000,84000
Nepal,14000,37000,83000,110000
Nicaragua,2400,1400,13000,49000
Niger,4900000,6000000,4600000,3700000
Nigeria,59000000,59000000,59000000,54000000
Oman,Nodata,Nodata,Nodata,Nodata
Pakistan,1500000,1500000,4000000,3800000
Panama,830,490,4300,1200
PapuaNewGuinea,1300000,1200000,1400000,1400000
Paraguay,0,50,410,7500
Peru,95000,63000,160000,140000
Philippines,16000,53000,140000,110000
RepublicofKorea,420,1900,1400,4500
RussianFederation,Nodata,10,50,100
Rwanda,1300000,1100000,1600000,3400000
SaoTomeandPrincipe,17000,5100,30000,47000
SaudiArabia,50,50,220,5200
Senegal,1800000,1600000,1300000,2200000
SierraLeone,2500000,2800000,2400000,2000000
SolomonIslands,42000,70000,220000,190000
Somalia,690000,280000,1100000,610000
SouthAfrica,19000,17000,17000,39000
SouthSudan,1800000,1800000,1800000,2000000
SriLanka,0,750,1800,230000
Sudan,1300000,1200000,2200000,2400000
Suriname,1100,2400,14000,20000
Swaziland,620,530,970,1900
SyrianArabRepublic,Nodata,Nodata,Nodata,Nodata
Tajikistan,10,120,2500,21000
Thailand,127000,120000,120000,220000
Timor-Leste,90000,110000,270000,250000
Togo,2600000,2900000,2800000,2500000
Turkey,50,50,2300,12000
Turkmenistan,Nodata,0,10,50
Uganda,8100000,14000000,13000000,12000000
UnitedRepublicofTanzania,5700000,6900000,9700000,12000000
Uzbekistan,0,10,110,140
Vanuatu,7900,18000,26000,23000
Venezuela(BolivarianRepublicof),132000,78000,78000,78000
VietNam,23000,25000,39000,200000
Yemen,460000,510000,630000,770000
Zambia,3300000,2200000,2900000,4000000
Zimbabwe,1000000,960000,1000000,990000
